date,trump_odds,biden_odds,source,trump_odds_dec,biden_odds_dec,hold,trump_win_perc,biden_win_perc
2020-04-08,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-09,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-10,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-11,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-12,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-13,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-14,-121,+114,1.0,1.8264462809917354,2.1399999999999997,1.4585200626659987,0.5395,0.4605
2020-04-15,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-16,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-17,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-18,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-19,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-20,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-21,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-22,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-23,-116,+110,1.0,1.8620689655172413,2.1,1.305485639819194,0.53,0.47
2020-04-24,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-25,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-26,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-27,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-28,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-29,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-04-30,-129,+114,1.0,1.7751937984496124,2.1399999999999997,2.9699415084176373,0.5466,0.4534
2020-05-01,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-02,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-03,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-04,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-05,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-06,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-07,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-08,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-09,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-10,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-11,-130,+123,1.0,1.7692307692307692,2.23,1.3464283657261915,0.5576,0.4424
2020-05-12,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-13,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-14,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-15,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-16,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-17,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-18,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-19,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-20,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-21,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-22,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-23,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-24,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-25,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-26,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-27,-131,+120,1.0,1.7633587786259541,2.2,2.118646107288671,0.5551,0.4449
2020-05-28,-132,+112,1.0,1.7575757575757576,2.12,3.9074871537517466,0.5467,0.4533
2020-05-29,-132,+112,1.0,1.7575757575757576,2.12,3.9074871537517466,0.5467,0.4533
